"from","to","Correlation","p_value","fdr","from_class","from_name","to_class","to_name","from_num","to_num"
"NM1254","IL17A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","IL17A",3,11
"NM1254","GROA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","GROA",3,4
"NM1254","MCP3",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (chemical)","Salicylic acid","Cytokine","MCP3",3,11
"NM1446","IL17A",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Trimethyl Phosphate","Cytokine","IL17A",2,11
"NM1446","MCP3",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Trimethyl Phosphate","Cytokine","MCP3",2,11
"NM1550","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL6",5,8
"NM1550","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","NGF",5,8
"NM1550","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL12P40",5,8
"NM1550","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","IL15",5,8
"NM1550","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","4-Chloro-o-toluidine","Cytokine","ICAM1",5,8
"NM2680","IL17A",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tetrachloroethylene","Cytokine","IL17A",2,11
"NM2680","MCP3",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tetrachloroethylene","Cytokine","MCP3",2,11
"NM3057","FASL",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","FASL",10,8
"NM3057","IL27",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL27",10,8
"NM3057","IL4",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL4",10,8
"NM3057","IL5",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL5",10,8
"NM3057","IL7",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL7",10,8
"NM3057","IFNB",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IFNB",10,8
"NM3057","IL13",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL13",10,8
"NM3057","IL31",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IL31",10,8
"NM3057","IFNG",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","IFNG",10,8
"NM3057","GCSF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Acephate","Cytokine","GCSF",10,8
"NM4337","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Zeranol","Cytokine","IL17A",2,11
"NM4337","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Zeranol","Cytokine","MCP3",2,11
"PM1171","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Triethyl phosphate","Cytokine","IL23",1,21
"PM1880","IL6",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL6",5,8
"PM1880","NGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","NGF",5,8
"PM1880","IL12P40",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL12P40",5,8
"PM1880","IL15",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","IL15",5,8
"PM1880","ICAM1",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","p-Hydroxy-meta-chlorophenylpiperazine","Cytokine","ICAM1",5,8
"PM1935","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Pymetrozin","Cytokine","IL17A",2,11
"PM1935","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Pymetrozin","Cytokine","MCP3",2,11
"PM2296","EGF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Cyproconazole","Cytokine","EGF",2,6
"PM2296","CD40L",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Cyproconazole","Cytokine","CD40L",2,6
"PM2342","LIF",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Butylated triphenyl phosphate","Cytokine","LIF",1,7
"PM2541","IP10",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Amoxicillin","Cytokine","IP10",2,4
"PM2541","IL21",-1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Amoxicillin","Cytokine","IL21",2,4
"PM2549","IL1B",1,0.0166666666666667,1.77815125038364,"Exposome (chemical)","Tricresyl phosphate","Cytokine","IL1B",1,6
"genus_Aegilops","IL17F",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL17F",9,3
"genus_Aegilops","IL12P70",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL12P70",9,3
"genus_Aegilops","IL9",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL9",9,3
"genus_Aegilops","VEGFD",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","VEGFD",9,3
"genus_Aegilops","TNFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","TNFB",9,3
"genus_Aegilops","IL22",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","IL22",9,3
"genus_Aegilops","PDGFBB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","PDGFBB",9,3
"genus_Aegilops","VEGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","VEGF",9,3
"genus_Aegilops","LEPTIN",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Aegilops","Cytokine","LEPTIN",9,3
"genus_Alternaria","SCF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Alternaria","Cytokine","SCF",2,7
"genus_Alternaria","PAI1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Alternaria","Cytokine","PAI1",2,7
"genus_Anoxybacillus","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Anoxybacillus","Cytokine","IL2",2,15
"genus_Anoxybacillus","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Anoxybacillus","Cytokine","MCP1",2,15
"genus_Arabis","SDF1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Arabis","Cytokine","SDF1A",3,4
"genus_Arabis","IL1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Arabis","Cytokine","IL1A",3,4
"genus_Arabis","RESISTIN",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Arabis","Cytokine","RESISTIN",3,4
"genus_Armillaria","BDNF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Armillaria","Cytokine","BDNF",1,4
"genus_Aureobasidium","TGFA",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Aureobasidium","Cytokine","TGFA",1,3
"genus_Auricularia","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Auricularia","Cytokine","IL23",1,21
"genus_Bacillus","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Bacillus","Cytokine","IL23",1,21
"genus_Baeospora","HGF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Baeospora","Cytokine","HGF",2,3
"genus_Baeospora","IFNA",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Baeospora","Cytokine","IFNA",2,3
"genus_Botrytis","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Botrytis","Cytokine","IL2",2,15
"genus_Botrytis","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Botrytis","Cytokine","MCP1",2,15
"genus_Byssochlamys","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Byssochlamys","Cytokine","IL23",1,21
"genus_Castanea","SCF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Castanea","Cytokine","SCF",2,7
"genus_Castanea","PAI1",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Castanea","Cytokine","PAI1",2,7
"genus_Cenococcum","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Cenococcum","Cytokine","IL2",2,15
"genus_Cenococcum","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Cenococcum","Cytokine","MCP1",2,15
"genus_Chryseobacterium","SDF1A",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chryseobacterium","Cytokine","SDF1A",3,4
"genus_Chryseobacterium","IL1A",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chryseobacterium","Cytokine","IL1A",3,4
"genus_Chryseobacterium","RESISTIN",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chryseobacterium","Cytokine","RESISTIN",3,4
"genus_Chrysoporthe","MIP1A",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","MIP1A",10,4
"genus_Chrysoporthe","IL10",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","IL10",10,4
"genus_Chrysoporthe","IL1RA",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","IL1RA",10,4
"genus_Chrysoporthe","RANTES",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","RANTES",10,4
"genus_Chrysoporthe","TNFA",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","TNFA",10,4
"genus_Chrysoporthe","MIP1B",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","MIP1B",10,4
"genus_Chrysoporthe","TRAIL",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","TRAIL",10,4
"genus_Chrysoporthe","IL18",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","IL18",10,4
"genus_Chrysoporthe","MCSF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","MCSF",10,4
"genus_Chrysoporthe","FGFB",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Chrysoporthe","Cytokine","FGFB",10,4
"genus_Clavaria","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Clavaria","Cytokine","IL23",1,21
"genus_Clostridium","LIF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Clostridium","Cytokine","LIF",1,7
"genus_Coprinopsis","HGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Coprinopsis","Cytokine","HGF",2,3
"genus_Coprinopsis","IFNA",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Coprinopsis","Cytokine","IFNA",2,3
"genus_Cordyceps","EGF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Cordyceps","Cytokine","EGF",2,6
"genus_Cordyceps","CD40L",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Cordyceps","Cytokine","CD40L",2,6
"genus_Corynebacterium","SDF1A",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Corynebacterium","Cytokine","SDF1A",3,4
"genus_Corynebacterium","IL1A",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Corynebacterium","Cytokine","IL1A",3,4
"genus_Corynebacterium","RESISTIN",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Corynebacterium","Cytokine","RESISTIN",3,4
"genus_Daucus","LIF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","LIF",6,7
"genus_Daucus","IL6",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","IL6",6,8
"genus_Daucus","NGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","NGF",6,8
"genus_Daucus","IL12P40",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","IL12P40",6,8
"genus_Daucus","IL15",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","IL15",6,8
"genus_Daucus","ICAM1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Daucus","Cytokine","ICAM1",6,8
"genus_Diaporthe","IP10",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Diaporthe","Cytokine","IP10",5,4
"genus_Diaporthe","TGFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Diaporthe","Cytokine","TGFB",5,4
"genus_Diaporthe","MIG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Diaporthe","Cytokine","MIG",5,4
"genus_Diaporthe","IL21",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Diaporthe","Cytokine","IL21",5,4
"genus_Diaporthe","VCAM1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Diaporthe","Cytokine","VCAM1",5,4
"genus_Enhydrobacter","LIF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","LIF",6,7
"genus_Enhydrobacter","IL6",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","IL6",6,8
"genus_Enhydrobacter","NGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","NGF",6,8
"genus_Enhydrobacter","IL12P40",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","IL12P40",6,8
"genus_Enhydrobacter","IL15",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","IL15",6,8
"genus_Enhydrobacter","ICAM1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enhydrobacter","Cytokine","ICAM1",6,8
"genus_Enterococcus","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Enterococcus","Cytokine","IL23",1,21
"genus_Epilithonimonas","FASL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","FASL",12,8
"genus_Epilithonimonas","IL27",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL27",12,8
"genus_Epilithonimonas","IL4",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL4",12,8
"genus_Epilithonimonas","IL5",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL5",12,8
"genus_Epilithonimonas","IL7",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL7",12,8
"genus_Epilithonimonas","IL8",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL8",12,7
"genus_Epilithonimonas","IFNB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IFNB",12,8
"genus_Epilithonimonas","IL13",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL13",12,8
"genus_Epilithonimonas","IL31",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IL31",12,8
"genus_Epilithonimonas","IFNG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","IFNG",12,8
"genus_Epilithonimonas","GMCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","GMCSF",12,7
"genus_Epilithonimonas","GCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Epilithonimonas","Cytokine","GCSF",12,8
"genus_Erythrobasidium","TGFA",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Erythrobasidium","Cytokine","TGFA",1,3
"genus_Exidia","IL1B",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Exidia","Cytokine","IL1B",1,6
"genus_Exophiala","IL2",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Exophiala","Cytokine","IL2",2,15
"genus_Exophiala","MCP1",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Exophiala","Cytokine","MCP1",2,15
"genus_Felis","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Felis","Cytokine","IL17A",2,11
"genus_Felis","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Felis","Cytokine","MCP3",2,11
"genus_Flammulina","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Flammulina","Cytokine","IL23",1,21
"genus_Fonsecaea","EGF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Fonsecaea","Cytokine","EGF",2,6
"genus_Fonsecaea","CD40L",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Fonsecaea","Cytokine","CD40L",2,6
"genus_Fraxinus","IL23",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Fraxinus","Cytokine","IL23",1,21
"genus_Fusarium","FASL",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","FASL",10,8
"genus_Fusarium","IL27",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL27",10,8
"genus_Fusarium","IL4",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL4",10,8
"genus_Fusarium","IL5",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL5",10,8
"genus_Fusarium","IL7",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL7",10,8
"genus_Fusarium","IFNB",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IFNB",10,8
"genus_Fusarium","IL13",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL13",10,8
"genus_Fusarium","IL31",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IL31",10,8
"genus_Fusarium","IFNG",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","IFNG",10,8
"genus_Fusarium","GCSF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Fusarium","Cytokine","GCSF",10,8
"genus_Ganoderma","TGFA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Ganoderma","Cytokine","TGFA",1,3
"genus_Gliomastix","EGF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Gliomastix","Cytokine","EGF",2,6
"genus_Gliomastix","CD40L",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Gliomastix","Cytokine","CD40L",2,6
"genus_Gongronella","BDNF",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Gongronella","Cytokine","BDNF",1,4
"genus_Haemophilus","LIF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","LIF",6,7
"genus_Haemophilus","IL6",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","IL6",6,8
"genus_Haemophilus","NGF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","NGF",6,8
"genus_Haemophilus","IL12P40",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","IL12P40",6,8
"genus_Haemophilus","IL15",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","IL15",6,8
"genus_Haemophilus","ICAM1",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Haemophilus","Cytokine","ICAM1",6,8
"genus_Heterobasidion","IL1B",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Heterobasidion","Cytokine","IL1B",1,6
"genus_Hordeum","FASL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","FASL",12,8
"genus_Hordeum","IL27",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL27",12,8
"genus_Hordeum","IL4",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL4",12,8
"genus_Hordeum","IL5",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL5",12,8
"genus_Hordeum","IL7",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL7",12,8
"genus_Hordeum","IL8",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL8",12,7
"genus_Hordeum","IFNB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IFNB",12,8
"genus_Hordeum","IL13",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL13",12,8
"genus_Hordeum","IL31",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IL31",12,8
"genus_Hordeum","IFNG",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","IFNG",12,8
"genus_Hordeum","GMCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","GMCSF",12,7
"genus_Hordeum","GCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Hordeum","Cytokine","GCSF",12,8
"genus_Hymenoscyphus","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Hymenoscyphus","Cytokine","IL23",1,21
"genus_Hypsizygus","IL17A",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Hypsizygus","Cytokine","IL17A",2,11
"genus_Hypsizygus","MCP3",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Hypsizygus","Cytokine","MCP3",2,11
"genus_Isaria","MIP1A",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","MIP1A",10,4
"genus_Isaria","IL10",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","IL10",10,4
"genus_Isaria","IL1RA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","IL1RA",10,4
"genus_Isaria","RANTES",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","RANTES",10,4
"genus_Isaria","TNFA",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","TNFA",10,4
"genus_Isaria","MIP1B",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","MIP1B",10,4
"genus_Isaria","TRAIL",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","TRAIL",10,4
"genus_Isaria","IL18",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","IL18",10,4
"genus_Isaria","MCSF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","MCSF",10,4
"genus_Isaria","FGFB",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Isaria","Cytokine","FGFB",10,4
"genus_Jaapia","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Jaapia","Cytokine","IL23",1,21
"genus_Lecanosticta","IL2",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Lecanosticta","Cytokine","IL2",2,15
"genus_Lecanosticta","MCP1",-0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Lecanosticta","Cytokine","MCP1",2,15
"genus_Legionella","IL2",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Legionella","Cytokine","IL2",2,15
"genus_Legionella","MCP1",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Legionella","Cytokine","MCP1",2,15
"genus_Malassezia","HGF",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Malassezia","Cytokine","HGF",2,3
"genus_Malassezia","IFNA",-1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Malassezia","Cytokine","IFNA",2,3
"genus_Marssonina","IL23",1,0.0166666666666667,1.77815125038364,"Exposome (biological)","Marssonina","Cytokine","IL23",1,21
"genus_Meira","SCF",0.974679434480896,0.00481823046819854,2.31711243043294,"Exposome (biological)","Meira","Cytokine","SCF",2,7
