"node","Class","true_name"
"Triglyceride._Ser.Plas","Blood test","Triglyceride._Ser.Plas"
"BASO._.","Blood test","BASO._."
"BASOS._ABS","Blood test","BASOS._ABS"
"MCH","Blood test","MCH"
"MCHC","Blood test","MCHC"
"MONO._.","Blood test","MONO._."
"MONO._ABS","Blood test","MONO._ABS"
"Creatinine._Ser.Plas","Blood test","Creatinine._Ser.Plas"
"eGFR","Blood test","eGFR"
"Glucose._Ser.Plas","Blood test","Glucose._Ser.Plas"
"Anion_Gap","Blood test","Anion_Gap"
"Hemoglobin_A1c","Blood test","Hemoglobin_A1c"
"High_Sensitivity_CRP","Blood test","High_Sensitivity_CRP"
"NEUT._.","Blood test","NEUT._."
"Sodium._Ser.Plas","Blood test","Sodium._Ser.Plas"
"AST_.SGOT.._Ser.Plas","Blood test","AST_.SGOT.._Ser.Plas"
"Cholesterol._Total","Blood test","Cholesterol._Total"
"HDL_Cholesterol","Blood test","HDL_Cholesterol"
"WBC","Blood test","WBC"
"RBC","Blood test","RBC"
"LYM._ABS","Blood test","LYM._ABS"
"Chloride._Ser.Plas","Blood test","Chloride._Ser.Plas"
"Total_Bilirubin","Blood test","Total_Bilirubin"
"Protein._Total._Ser.Plas","Blood test","Protein._Total._Ser.Plas"
"Globulin","Blood test","Globulin"
"LDL_.Calculated.","Blood test","LDL_.Calculated."
"Hemoglobin","Blood test","Hemoglobin"
"MCV","Blood test","MCV"
"RDW","Blood test","RDW"
"NEUT._ABS","Blood test","NEUT._ABS"
"Urea_Nitrogen.Ser.Plas","Blood test","Urea_Nitrogen.Ser.Plas"
"Albumin._Ser.Plas","Blood test","Albumin._Ser.Plas"
"IgM._Serum","Blood test","IgM._Serum"
"LYM._.","Blood test","LYM._."
"Hematocrit","Blood test","Hematocrit"
"Platelet_count","Blood test","Platelet_count"
"EOS._ABS","Blood test","EOS._ABS"
"Potassium._Ser.Plas","Blood test","Potassium._Ser.Plas"
"CO2._Ser.Plas","Blood test","CO2._Ser.Plas"
"Calcium._Ser.Plas","Blood test","Calcium._Ser.Plas"
"ALT_.SGPT.._Ser.Plas","Blood test","ALT_.SGPT.._Ser.Plas"
"Alk_P.TASE._Total._Ser.Plas","Blood test","Alk_P.TASE._Total._Ser.Plas"
"Non.HDL_Chol._Calc","Blood test","Non.HDL_Chol._Calc"
"Cholesterol.HDL_Ratio","Blood test","Cholesterol.HDL_Ratio"
"LDL.HDL_Ratio","Blood test","LDL.HDL_Ratio"
"EOS._.","Blood test","EOS._."
"IL17A","Cytokine","IL17A"
"GROA","Cytokine","GROA"
"MCP3","Cytokine","MCP3"
"IL6","Cytokine","IL6"
"NGF","Cytokine","NGF"
"IL12P40","Cytokine","IL12P40"
"IL15","Cytokine","IL15"
"ICAM1","Cytokine","ICAM1"
"FASL","Cytokine","FASL"
"IL27","Cytokine","IL27"
"IL4","Cytokine","IL4"
"IL5","Cytokine","IL5"
"IL7","Cytokine","IL7"
"IFNB","Cytokine","IFNB"
"IL13","Cytokine","IL13"
"IL31","Cytokine","IL31"
"IFNG","Cytokine","IFNG"
"GCSF","Cytokine","GCSF"
"CHEX4","Cytokine","CHEX4"
"IL23","Cytokine","IL23"
"EGF","Cytokine","EGF"
"CD40L","Cytokine","CD40L"
"LIF","Cytokine","LIF"
"IP10","Cytokine","IP10"
"IL21","Cytokine","IL21"
"CHEX3","Cytokine","CHEX3"
"IL1B","Cytokine","IL1B"
"IL17F","Cytokine","IL17F"
"IL12P70","Cytokine","IL12P70"
"IL9","Cytokine","IL9"
"VEGFD","Cytokine","VEGFD"
"TNFB","Cytokine","TNFB"
"IL22","Cytokine","IL22"
"PDGFBB","Cytokine","PDGFBB"
"VEGF","Cytokine","VEGF"
"LEPTIN","Cytokine","LEPTIN"
"SCF","Cytokine","SCF"
"PAI1","Cytokine","PAI1"
"IL2","Cytokine","IL2"
"MCP1","Cytokine","MCP1"
"SDF1A","Cytokine","SDF1A"
"IL1A","Cytokine","IL1A"
"RESISTIN","Cytokine","RESISTIN"
"BDNF","Cytokine","BDNF"
"CHEX1","Cytokine","CHEX1"
"TGFA","Cytokine","TGFA"
"HGF","Cytokine","HGF"
"IFNA","Cytokine","IFNA"
"MIP1A","Cytokine","MIP1A"
"IL10","Cytokine","IL10"
"IL1RA","Cytokine","IL1RA"
"RANTES","Cytokine","RANTES"
"TNFA","Cytokine","TNFA"
"MIP1B","Cytokine","MIP1B"
"TRAIL","Cytokine","TRAIL"
"IL18","Cytokine","IL18"
"MCSF","Cytokine","MCSF"
"FGFB","Cytokine","FGFB"
"CHEX2","Cytokine","CHEX2"
"TGFB","Cytokine","TGFB"
"MIG","Cytokine","MIG"
"VCAM1","Cytokine","VCAM1"
"IL8","Cytokine","IL8"
"GMCSF","Cytokine","GMCSF"
"dSO2","Environment","dSO2"
"Mean_TemperatureC","Environment","Mean_TemperatureC"
"X_Mean_Wind_SpeedKm.h","Environment","X_Mean_Wind_SpeedKm.h"
"exposome_genus_Acidomyces","Exposome (biological)","Acidomyces"
"exposome_genus_Acinetobacter","Exposome (biological)","Acinetobacter"
"exposome_genus_Acremonium","Exposome (biological)","Acremonium"
"exposome_genus_Actinoplanes","Exposome (biological)","Actinoplanes"
"exposome_genus_Aliterella","Exposome (biological)","Aliterella"
"exposome_genus_Alkanindiges","Exposome (biological)","Alkanindiges"
"exposome_genus_Ananas","Exposome (biological)","Ananas"
"exposome_genus_Anthracocystis","Exposome (biological)","Anthracocystis"
"exposome_genus_Arthrobacter","Exposome (biological)","Arthrobacter"
"exposome_genus_Ascocoryne","Exposome (biological)","Ascocoryne"
"exposome_genus_Biomphalaria","Exposome (biological)","Biomphalaria"
"exposome_genus_Botrytis","Exposome (biological)","Botrytis"
"exposome_genus_Brevibacillus","Exposome (biological)","Brevibacillus"
"exposome_genus_Bulleromyces","Exposome (biological)","Bulleromyces"
"exposome_genus_Burkholderia","Exposome (biological)","Burkholderia"
"exposome_genus_Calocera","Exposome (biological)","Calocera"
"exposome_genus_Canis","Exposome (biological)","Canis"
"exposome_genus_Capnocytophaga","Exposome (biological)","Capnocytophaga"
"exposome_genus_Cenococcum","Exposome (biological)","Cenococcum"
"exposome_genus_Ceraceosorus","Exposome (biological)","Ceraceosorus"
"exposome_genus_Cercospora","Exposome (biological)","Cercospora"
"exposome_genus_Chaetomium","Exposome (biological)","Chaetomium"
"exposome_genus_Clonostachys","Exposome (biological)","Clonostachys"
"exposome_genus_Colletotrichum","Exposome (biological)","Colletotrichum"
"exposome_genus_Cryomyces","Exposome (biological)","Cryomyces"
"exposome_genus_Cyphellophora","Exposome (biological)","Cyphellophora"
"exposome_genus_Cystobasidiopsis","Exposome (biological)","Cystobasidiopsis"
"exposome_genus_Cystobasidium","Exposome (biological)","Cystobasidium"
"exposome_genus_Daedalea","Exposome (biological)","Daedalea"
"exposome_genus_Dendrobium","Exposome (biological)","Dendrobium"
"exposome_genus_Desmospora","Exposome (biological)","Desmospora"
"exposome_genus_Diaporthe","Exposome (biological)","Diaporthe"
"exposome_genus_Dichomitus","Exposome (biological)","Dichomitus"
"exposome_genus_Dioszegia","Exposome (biological)","Dioszegia"
"exposome_genus_Diplodia","Exposome (biological)","Diplodia"
"exposome_genus_Dolosigranulum","Exposome (biological)","Dolosigranulum"
"exposome_genus_Dothistroma","Exposome (biological)","Dothistroma"
"exposome_genus_Drechslerella","Exposome (biological)","Drechslerella"
"exposome_genus_Endocarpon","Exposome (biological)","Endocarpon"
"exposome_genus_Epilithonimonas","Exposome (biological)","Epilithonimonas"
"exposome_genus_Erythrobasidium","Exposome (biological)","Erythrobasidium"
"exposome_genus_Escherichia","Exposome (biological)","Escherichia"
"exposome_genus_Eutypa","Exposome (biological)","Eutypa"
"exposome_genus_Felis","Exposome (biological)","Felis"
"exposome_genus_Fibrella","Exposome (biological)","Fibrella"
"exposome_genus_Filobasidiella","Exposome (biological)","Filobasidiella"
"exposome_genus_Filobasidium","Exposome (biological)","Filobasidium"
"exposome_genus_Fomitopsis","Exposome (biological)","Fomitopsis"
"exposome_genus_Fusarium","Exposome (biological)","Fusarium"
"exposome_genus_Geotrichum","Exposome (biological)","Geotrichum"
"exposome_genus_Gossypium","Exposome (biological)","Gossypium"
"exposome_genus_Graphilbum","Exposome (biological)","Graphilbum"
"exposome_genus_Grifola","Exposome (biological)","Grifola"
"exposome_genus_Gyalolechia","Exposome (biological)","Gyalolechia"
"exposome_genus_Haloferula","Exposome (biological)","Haloferula"
"exposome_genus_Hebeloma","Exposome (biological)","Hebeloma"
"exposome_genus_Heterobasidion","Exposome (biological)","Heterobasidion"
"exposome_genus_Hibiscus","Exposome (biological)","Hibiscus"
"exposome_genus_Hysterium","Exposome (biological)","Hysterium"
"exposome_genus_Juglans","Exposome (biological)","Juglans"
"exposome_genus_Klebsiella","Exposome (biological)","Klebsiella"
"exposome_genus_Kocuria","Exposome (biological)","Kocuria"
"exposome_genus_Kwoniella","Exposome (biological)","Kwoniella"
"exposome_genus_Lactobacillus","Exposome (biological)","Lactobacillus"
"exposome_genus_Lasallia","Exposome (biological)","Lasallia"
"exposome_genus_Lecanosticta","Exposome (biological)","Lecanosticta"
"exposome_genus_Legionella","Exposome (biological)","Legionella"
"exposome_genus_Lepidopterella","Exposome (biological)","Lepidopterella"
"exposome_genus_Leptographium","Exposome (biological)","Leptographium"
"exposome_genus_Leptosphaeria","Exposome (biological)","Leptosphaeria"
"exposome_genus_Leptoxyphium","Exposome (biological)","Leptoxyphium"
"exposome_genus_Leucosporidium","Exposome (biological)","Leucosporidium"
"exposome_genus_Lotus","Exposome (biological)","Lotus"
"exposome_genus_Madurella","Exposome (biological)","Madurella"
"exposome_genus_Magnaporthe","Exposome (biological)","Magnaporthe"
"exposome_genus_Magnaporthiopsis","Exposome (biological)","Magnaporthiopsis"
"exposome_genus_Marchantia","Exposome (biological)","Marchantia"
"exposome_genus_Massilia","Exposome (biological)","Massilia"
"exposome_genus_Melampsora","Exposome (biological)","Melampsora"
"exposome_genus_Microvirga","Exposome (biological)","Microvirga"
"exposome_genus_Myceliophthora","Exposome (biological)","Myceliophthora"
"exposome_genus_Mycobacterium","Exposome (biological)","Mycobacterium"
"exposome_genus_Mycosphaerella","Exposome (biological)","Mycosphaerella"
"exposome_genus_Necator","Exposome (biological)","Necator"
"exposome_genus_Neofusicoccum","Exposome (biological)","Neofusicoccum"
"exposome_genus_Neonectria","Exposome (biological)","Neonectria"
"exposome_genus_Neurospora","Exposome (biological)","Neurospora"
"exposome_genus_Oceanobacillus","Exposome (biological)","Oceanobacillus"
"exposome_genus_Onygena","Exposome (biological)","Onygena"
"exposome_genus_Oropetium","Exposome (biological)","Oropetium"
"exposome_genus_Pantoea","Exposome (biological)","Pantoea"
"exposome_genus_Passalora","Exposome (biological)","Passalora"
"exposome_genus_Paxillus","Exposome (biological)","Paxillus"
"exposome_genus_Pedobacter","Exposome (biological)","Pedobacter"
"exposome_genus_Peltaster","Exposome (biological)","Peltaster"
"exposome_genus_Pestalotiopsis","Exposome (biological)","Pestalotiopsis"
"exposome_genus_Phaeoacremonium","Exposome (biological)","Phaeoacremonium"
"exposome_genus_Phanerochaete","Exposome (biological)","Phanerochaete"
"exposome_genus_Phoenix","Exposome (biological)","Phoenix"
"exposome_genus_Phyllosticta","Exposome (biological)","Phyllosticta"
"exposome_genus_Physarum","Exposome (biological)","Physarum"
"exposome_genus_Plutella","Exposome (biological)","Plutella"
"exposome_genus_Populus","Exposome (biological)","Populus"
"exposome_genus_Prunus","Exposome (biological)","Prunus"
"exposome_genus_Pseudogymnoascus","Exposome (biological)","Pseudogymnoascus"
"exposome_genus_Pseudomonas","Exposome (biological)","Pseudomonas"
"exposome_genus_Pseudotsuga","Exposome (biological)","Pseudotsuga"
"exposome_genus_Pseudozyma","Exposome (biological)","Pseudozyma"
"exposome_genus_Puccinia","Exposome (biological)","Puccinia"
"exposome_genus_Pyrenochaeta","Exposome (biological)","Pyrenochaeta"
"exposome_genus_Rasamsonia","Exposome (biological)","Rasamsonia"
"exposome_genus_Reticulascus","Exposome (biological)","Reticulascus"
"exposome_genus_Rhodotorula","Exposome (biological)","Rhodotorula"
"exposome_genus_Ricinus","Exposome (biological)","Ricinus"
"exposome_genus_Rufibacter","Exposome (biological)","Rufibacter"
"exposome_genus_Ruminiclostridium","Exposome (biological)","Ruminiclostridium"
"exposome_genus_Salmonella","Exposome (biological)","Salmonella"
"exposome_genus_Sarocladium","Exposome (biological)","Sarocladium"
"exposome_genus_Schizopora","Exposome (biological)","Schizopora"
"exposome_genus_Sporosarcina","Exposome (biological)","Sporosarcina"
"exposome_genus_Staphylococcus","Exposome (biological)","Staphylococcus"
"exposome_genus_Suillus","Exposome (biological)","Suillus"
"exposome_genus_Taiwanofungus","Exposome (biological)","Taiwanofungus"
"exposome_genus_Taphrina","Exposome (biological)","Taphrina"
"exposome_genus_Termitomyces","Exposome (biological)","Termitomyces"
"exposome_genus_Tolypocladium","Exposome (biological)","Tolypocladium"
"exposome_genus_Tremella","Exposome (biological)","Tremella"
"exposome_genus_Trichosporon","Exposome (biological)","Trichosporon"
"exposome_genus_Ustilago","Exposome (biological)","Ustilago"
"exposome_genus_Valsa","Exposome (biological)","Valsa"
"exposome_genus_Verticillium","Exposome (biological)","Verticillium"
"exposome_genus_Vitis","Exposome (biological)","Vitis"
"exposome_genus_Wallemia","Exposome (biological)","Wallemia"
"exposome_genus_Xeromyces","Exposome (biological)","Xeromyces"
"exposome_genus_Xylona","Exposome (biological)","Xylona"
"exposome_genus_Yersinia","Exposome (biological)","Yersinia"
"exposome_genus_Ziziphus","Exposome (biological)","Ziziphus"
"exposome_genus_Aegilops","Exposome (biological)","Aegilops"
"exposome_genus_Alternaria","Exposome (biological)","Alternaria"
"exposome_genus_Anoxybacillus","Exposome (biological)","Anoxybacillus"
"exposome_genus_Arabis","Exposome (biological)","Arabis"
"exposome_genus_Armillaria","Exposome (biological)","Armillaria"
"exposome_genus_Aureobasidium","Exposome (biological)","Aureobasidium"
"exposome_genus_Auricularia","Exposome (biological)","Auricularia"
"exposome_genus_Bacillus","Exposome (biological)","Bacillus"
"exposome_genus_Baeospora","Exposome (biological)","Baeospora"
"exposome_genus_Byssochlamys","Exposome (biological)","Byssochlamys"
"exposome_genus_Castanea","Exposome (biological)","Castanea"
"exposome_genus_Chryseobacterium","Exposome (biological)","Chryseobacterium"
"exposome_genus_Chrysoporthe","Exposome (biological)","Chrysoporthe"
"exposome_genus_Clavaria","Exposome (biological)","Clavaria"
"exposome_genus_Clostridium","Exposome (biological)","Clostridium"
"exposome_genus_Coprinopsis","Exposome (biological)","Coprinopsis"
"exposome_genus_Cordyceps","Exposome (biological)","Cordyceps"
"exposome_genus_Corynebacterium","Exposome (biological)","Corynebacterium"
"exposome_genus_Daucus","Exposome (biological)","Daucus"
"exposome_genus_Enhydrobacter","Exposome (biological)","Enhydrobacter"
"exposome_genus_Enterococcus","Exposome (biological)","Enterococcus"
"exposome_genus_Exidia","Exposome (biological)","Exidia"
"exposome_genus_Exophiala","Exposome (biological)","Exophiala"
"exposome_genus_Flammulina","Exposome (biological)","Flammulina"
"exposome_genus_Fonsecaea","Exposome (biological)","Fonsecaea"
"exposome_genus_Fraxinus","Exposome (biological)","Fraxinus"
"exposome_genus_Ganoderma","Exposome (biological)","Ganoderma"
"exposome_genus_Gliomastix","Exposome (biological)","Gliomastix"
"exposome_genus_Glonium","Exposome (biological)","Glonium"
"exposome_genus_Gongronella","Exposome (biological)","Gongronella"
"exposome_genus_Haemophilus","Exposome (biological)","Haemophilus"
"exposome_genus_Hordeum","Exposome (biological)","Hordeum"
"exposome_genus_Hymenoscyphus","Exposome (biological)","Hymenoscyphus"
"exposome_genus_Hypsizygus","Exposome (biological)","Hypsizygus"
"exposome_genus_Isaria","Exposome (biological)","Isaria"
"exposome_genus_Jaapia","Exposome (biological)","Jaapia"
"exposome_genus_Malassezia","Exposome (biological)","Malassezia"
"exposome_genus_Marssonina","Exposome (biological)","Marssonina"
"exposome_genus_Meira","Exposome (biological)","Meira"
"exposome_genus_Mrakia","Exposome (biological)","Mrakia"
"exposome_genus_Mycena","Exposome (biological)","Mycena"
"exposome_genus_Neolentinus","Exposome (biological)","Neolentinus"
"exposome_genus_Niabella","Exposome (biological)","Niabella"
"exposome_genus_Niastella","Exposome (biological)","Niastella"
"exposome_genus_Oidiodendron","Exposome (biological)","Oidiodendron"
"exposome_genus_Omphalotus","Exposome (biological)","Omphalotus"
"exposome_genus_Paenibacillus","Exposome (biological)","Paenibacillus"
"exposome_genus_Paramecium","Exposome (biological)","Paramecium"
"exposome_genus_Paraphaeosphaeria","Exposome (biological)","Paraphaeosphaeria"
"exposome_genus_Paraphoma","Exposome (biological)","Paraphoma"
"exposome_genus_Parastagonospora","Exposome (biological)","Parastagonospora"
"exposome_genus_Penicillium","Exposome (biological)","Penicillium"
"exposome_genus_Phellinus","Exposome (biological)","Phellinus"
"exposome_genus_Phytophthora","Exposome (biological)","Phytophthora"
"exposome_genus_Planomicrobium","Exposome (biological)","Planomicrobium"
"exposome_genus_Plicaturopsis","Exposome (biological)","Plicaturopsis"
"exposome_genus_Pontibacter","Exposome (biological)","Pontibacter"
"exposome_genus_Propionibacterium","Exposome (biological)","Propionibacterium"
"exposome_genus_Pyrenophora","Exposome (biological)","Pyrenophora"
"exposome_genus_Rosellinia","Exposome (biological)","Rosellinia"
"exposome_genus_Rubrobacter","Exposome (biological)","Rubrobacter"
"exposome_genus_Sediminibacterium","Exposome (biological)","Sediminibacterium"
"exposome_genus_Serpula","Exposome (biological)","Serpula"
"exposome_genus_Sistotremastrum","Exposome (biological)","Sistotremastrum"
"exposome_genus_Sphingobacterium","Exposome (biological)","Sphingobacterium"
"exposome_genus_Spirosoma","Exposome (biological)","Spirosoma"
"exposome_genus_Sporothrix","Exposome (biological)","Sporothrix"
"exposome_genus_Stereum","Exposome (biological)","Stereum"
"exposome_genus_Talaromyces","Exposome (biological)","Talaromyces"
"exposome_genus_Tarenaya","Exposome (biological)","Tarenaya"
"exposome_genus_Terrimonas","Exposome (biological)","Terrimonas"
"exposome_genus_Thermoactinomyces","Exposome (biological)","Thermoactinomyces"
"exposome_genus_Thermoascus","Exposome (biological)","Thermoascus"
"exposome_genus_Thermomucor","Exposome (biological)","Thermomucor"
"exposome_genus_Thielavia","Exposome (biological)","Thielavia"
"exposome_genus_Venturia","Exposome (biological)","Venturia"
"exposome_genus_Adhaeribacter","Exposome (biological)","Adhaeribacter"
"exposome_genus_Albophoma","Exposome (biological)","Albophoma"
"exposome_genus_Amanita","Exposome (biological)","Amanita"
"exposome_genus_Amorphotheca","Exposome (biological)","Amorphotheca"
"exposome_genus_Anabaena","Exposome (biological)","Anabaena"
"exposome_genus_Arcticibacter","Exposome (biological)","Arcticibacter"
"exposome_genus_Athelia","Exposome (biological)","Athelia"
"exposome_genus_Basidioascus","Exposome (biological)","Basidioascus"
"exposome_genus_Betula","Exposome (biological)","Betula"
"exposome_genus_Beverwykella","Exposome (biological)","Beverwykella"
"exposome_genus_Biatriospora","Exposome (biological)","Biatriospora"
"exposome_genus_Bipolaris","Exposome (biological)","Bipolaris"
"exposome_genus_Botryobasidium","Exposome (biological)","Botryobasidium"
"exposome_genus_Botryosphaeria","Exposome (biological)","Botryosphaeria"
"exposome_genus_Calycina","Exposome (biological)","Calycina"
"exposome_genus_Cellvibrio","Exposome (biological)","Cellvibrio"
"exposome_genus_Cladonia","Exposome (biological)","Cladonia"
"exposome_genus_Cladosporium","Exposome (biological)","Cladosporium"
"exposome_genus_Coniophora","Exposome (biological)","Coniophora"
"exposome_genus_Coniosporium","Exposome (biological)","Coniosporium"
"exposome_genus_Corynespora","Exposome (biological)","Corynespora"
"exposome_genus_Cryptococcus","Exposome (biological)","Cryptococcus"
"exposome_genus_Curvularia","Exposome (biological)","Curvularia"
"exposome_genus_Cyberlindnera","Exposome (biological)","Cyberlindnera"
"exposome_genus_Cylindrobasidium","Exposome (biological)","Cylindrobasidium"
"exposome_genus_Dactylonectria","Exposome (biological)","Dactylonectria"
"exposome_genus_Didymobotryum","Exposome (biological)","Didymobotryum"
"exposome_genus_Dyadobacter","Exposome (biological)","Dyadobacter"
"exposome_genus_Enterobacter","Exposome (biological)","Enterobacter"
